question,predicted
What city is the band that recorded Renegade from?,Renegade is a 1979 hit song recorded by an American rock band from what city?
Who wrote the jukebox musical depicting the recording session between the King of Rock and Roll and 3 other famous musicians?,Who wrote the musical Million Dollar Quartet?
To whom does the term Pietro Colonna Galatino is sometimes referred to as the inventor of refer?,Pietro Colonna Galatino is sometimes referred to as the inventor of the Latinized
Where is the game which  High Rollers Casino is a type been played ,High Rollers Casino is a 2004 casino video game that can be played for entertainment purposes like
UFO Magazine covers what subject named for Charles Hoy Fort?,UFO Magazine was an American magazine that was devoted to the subject of unidentified flying
Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,Are the novels of the author of the Pulitzer Prize for Fiction more than twenty novels?
Who was born first Martin Degville or Richie Furay?,Who is the American singer songwriter and Rock & Roll Hall of Fame member who is best
God Is Not Great is by a journalist which due to his actions made him what?,God Is Not Great How Religion Poisons Everything is a 2007 book by anglo
Are both Odds and Supergrass rock bands?,Are Odds and Supergrass both rock bands?
Who is is known domestically for his humorous videos and stage performances and released his sixth studio album in 2012?,What South Korean singer rapper songwriter and record producer released his hit single Gangnam Style?
What is the birth name of the woman that A Woman Called Moses is based on?,Who was born first Harriet Tubman or Araminta Ross?
Are both Don Giovanni and Cardillac operas with three acts?,Are Don Giovanni and Cardillac both operas?
Do both Changle District and Longkou face water?,Are Longkou and Mawei both ports?
The Cinematic Orchestra was signed to the record label based in what city?,The group is signed to an English independent record label based in what city?
Edoardo Soleri is playing on loan from which Italian football club?,Edoardo Soleri plays for what professional Italian football club based in Rome?
Q1 Which mountain is located in China Kirat Chuli or Kangpenqing?,Which mountain in the Baiku Himalayas is more popular Kirat Chuli or Ten
What are the names of the co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks?,Which of the two British born sons of Howard Guard directed the 2009 American psychological horror film The
what is the group called that Dianne Morgan and Joe Wilkinson a part of in the BBC comedy Two Episodes of Mash,Live at the Electric is a British comedy series broadcast on BBC Three since 31 May 2012 and
During the 2004-05 Atlanta Hawks season the team acquired a former professional basketball player who is the current head coach of what team?,What team acquired former professional basketball player Tyronn Lue from the Houston Rockets?
What mine was operated by Royal Oak Mines at at earlier date Kemess Mine or Colomac Mine?,Which mine was owned by Royal Oak Mines from 1998 to 1999?
Aroma-scope used in Spy Kids 4 is reminiscent of what marketing gimmick used in Polyester in 1981?,What gimmick was used in the 2003 animated film Rugrats Go Wild?
Suzanne Simone Baptiste Louverture is the wife of the leader of which revolution?,Suzanne Louverture was the wife of the best-known leader of what Revolution?
In addition to the best known comic servant from Commedia dell'arte who else is featured in La Surprise de l'amour?,Which character from the Italian Commedia dell'arte is featured in La Surprise de 
In what town does the one-time star of And There's More now live?,Which town is the host of And There's More?
Edward C. Hugger and Alexander Acosta served at appointees for what job?,What role did the man who was appointed by George W. Bush to the National Labor Relations Board
Which club founded in 1928 did Bob Johnson played for ,What club was the first club that played in the Irish League?
A holdout is an accessory used by cheats in order for them to recieve what?,What is the difference between holding out a card or cheating?
In which football league does the son of Souleyman Sané play?,Souleyman Sané is the father of a German professional footballer who plays as
How many legs does the animal in which Karl Kraepelin discusses in Scorpiones und Pedipalpi have?,What do the legs of the skunks have in common?
Who is older Bertalan Farkas or Hans Schlegel?,Who was born first Bertalan Farkas or Hans Schlegel?
What portrait hangs in the Smithsonian Institute along with what is known as the founder of nursing?,Mary O'Connell was known as the angel of the battlefield and the founder of modern nursing
Why did basketball player The Process not play in the 77th season?,What injury did the third pick in the 2014 NBA draft in the 2015–16 Philadelphia 76
How many rooms are in the building built in 1883 at Garden City in Nassau County New York?,What is the size of the building that A. T. Stewart Era Buildings is located
Who is younger Chris Gould or Robbie Gould ?,Who was born first Chris Gould or Robbie Gould?
San Jose Secondary Educational Center is located on the cost of what sea? ,San Jose Secondary Educational Center Málaga Spain was founded by the Society of Jesus in 1906
What member of the South Korean-Chinese boy group EXO stars in the upcoming movie The Underdog?,Who is best known as a member and one of the main vocalists of the South
Did the host of Splash! win a gold silver or bronze Olympic medal?,Splash! is a British television show which teaches celebrities the art of diving with the
WFMT FM radio transmits from the second tallest building in the United States which is located where?,WFMT transmits from what second-tallest building in the United States?
What is the birthday of the author of She Walks These Hills?,When was the author of She Walks These Hills born?
Charles Coughlin was a controversial Canadian-American Roman Catholic who also started what rumor?,Which newspaper was founded first Frances Sweeney or Charles Coughlin?
Joe Ford played for which football club based out of Old Trafford?,What football club based in Old Trafford Greater Manchester England is the club that played for
Emily Beecham is best known for her role in a televsion series whose second season premiered on what date?,Emily Beecham is best known for her role in an American television series that premiered on A
One of the directors of Mediastan is well-known for founding what organisation in 2006?,Mediastan is a 2013 documentary film about the 2010 United States diplomatic cables leak produced by an
In which county does the United States Navy air base located in which  Attack Squadron 174 (VA-174) was based on?,Attack Squadron 174 was based at a United States Navy air base located in
Where is the closest relative to the whale located?,What region is the common hippopotamus located in?
Which player won more Grand Slam titles Kevin Ullyett or Billie Jean King?,Who was the American former World No. 1 professional tennis player who was a major player on
The physicist that saw a deficiency in Newton's classical theory of gravity received a Nobel Prize in what year?,In what year did Isaac Newton receive the Nobel Prize in Physics for his services to theoretical physics
In what year did the parent show of The URL with Phred Show end?,What year did the spin-off series to Phred on Your Head Show aire?
What two shows is the director of the first Clone Wars series known for creating?,What animated series did Genndy Tartakovsky creator of best known for creating?
What Chinese company helped develop the aircraft that preceded the Chengdu J-7?,The J-7 was extensively re-developed into a lightweight single-engine multi-rol
Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?,Micha Winiowiecki was a Polish–Lith
How many acts is the ballet Rita Sangalli premiered in in the year 1876?,What is the length of the ballet in which the actress played the role of Sylvia?
Billy King was an Australian rules footballer who participated in a game that was contested between the South Melbourne Football Club and Carlton Football Club and was held at what location in Melbourne in 1945?,William Herbert 'Billy' King played in the famous 1945 VFL Grand Final which
When did the park at which Tivolis Koncertsal is located open?,When did the park that Tivolis Koncertsal is located opened?
Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,State Route 111 runs east–west connecting the towns of Alfred and Biddeford in
Do tennis players Kathy Jordan and Sergi Bruguera have the same nationality?,Are Kathryn Jordan and Sergi Bruguera both tennis players?
Which University University of New South Wales or Purbanchal University was established first ?,Which university was established in 1993 by the government of Nepal?
What is the main base for the parent company of LATAM Express?,Which airport is the main hub of LATAM Express?
Giovanna d'Arco is an opera that was created by the composer of what nationality?,Giovanna d'Arco is an operatic dramma 
Who manages the Laboratory that ran the Aurora Generator Test?,Idaho National Laboratory ran the Aurora Generator Test in 2007 to demonstrate how a cyber attack could destroy
Drisheen is what type of product made in Ireland and other parts of Europe?,Drisheen and Black pudding are both what?
The 59th Infantry Division covered the deployment of the 35th Infantry during the Allied operation during what war?,What war did the Allied operation that launched the successful invasion of German-occupied Western Europe during
Who signed into law the act made to lower barriers to adoption?,Who signed the Adoption and Safe Families Act into law on November 19 1997?
Who was born first Steve Hogarth or Donnie Munro?,Who is older Donnie Munro or Steve Hogarth?
What are both Jack Rabbit and Leap-The-Dips made of?,Which is more popular Jack Rabbit or Leave-The-Dips?
Michael Mark Brodsky is known for his translation of what Irish avant-garde novelist playwright theatre director and poet?,What Irish avant-garde novelist playwright theatre director and poet lived in Paris for
What man with a lazy left eye starred in Sacred Ground?,What American film and television actor best known for his numerous roles as villains in Western films and
What is the name of the girl group that the host of the Nickelodeon Australian Kids' Choice Awards 2006 was a member of?,What girl group did the host of the show that was hosted by Sophie Monk and James Ker
What man is linked to both Johnny Tremain and Magic Kingdom?,Who made the 1957 film Johnny Tremain based on the 1944 Newbery Medal-winning
On what album is Samuel Sam Ervin Beam's cover of Such Great Heights featured?,What album was the lead single of the American singer-songwriter Iron & Wine?
What city in the Philippines is home to the Robinsons Galleria and the 4th largest shopping mall in the world?,Robinsons Galleria is a mixed-use complex and shopping mall located near a shopping
Which one of Magna Publishing Group's tiles is a spinoff of the UK's Club International?,Which magazine is a spin-off publication of the United Kingdom's Club International?
Rani Jhansi Marine National Park commemorates what queen of the princely state of Jhansi in North India?,What was the name of the queen of the princely state of Jhansi in North
Which English singer from the 1960s has an album entitled Dangerous Acquaintances released in 1981?,Dangerous Acquaintances is the eighth studio album by which English singer songwriter and
The first Latina Supreme Court Justice was part of the majority decision of a case that upheld which previous supreme court case?,Which Supreme Court case was a Supreme Court case that decided that in line with what Supreme Court
Who was the pivotal in the formation of schools catering for the primary and early secondary education of children in remote and outback Australia?,Who was the South Australian educator and teacher who was pivotal in the formation of the School of
In which 2017 film did this South Korean actor of  Dream High (2011) and the 2012 South Korean television drama series featuring Han Ga-in Jung Il-woo and Kim Min-seo appeared in 2017?,Moon Embracing the Sun starred a South Korean actor best known for his roles
Where Ken Kwapis and John Woo both working on films in the 1980's?,Are Kenneth Kwapis and Lee Woo both directors?
What is the name of the town linked by rail to Kendal named after a lake of the same name?,The Riggs Windermere is a hotel in what county?
The company that Park Joo-mi made her entertainment debut as a model for has its headquarters in what building in Seoul?,What building has the headquarters of the airline that Park made her entertainment debut as an Asiana Airlines
What is the total circulation of the magazine that called Ohio State Route 78 one of the most scenic highways nationwide?,Which company has called State Route 78 one of the most scenic highways nationwide?
Chancellor Otto von Bismark and Reichstadt agreement were also part of what League?,What was the German foreign policy of the Chancellor Otto von Bismarck in 1890
