question,predicted
What city is the band that recorded Renegade from?,Renegade is a 1979 hit song recorded by a rock band from what city?
Who wrote the jukebox musical depicting the recording session between the King of Rock and Roll and 3 other famous musicians?,Who wrote the jukebox musical Million Dollar Quartet?
To whom does the term Pietro Colonna Galatino is sometimes referred to as the inventor of refer?,Pietro Colonna Galatino is sometimes referred to as the inventor of the
Where is the game which  High Rollers Casino is a type been played ,High Rollers Casino is a 2004 casino video game co-developed by Cinemaware and
UFO Magazine covers what subject named for Charles Hoy Fort?,UFO Magazine was an American magazine that was devoted to the subject of unidentified flying objects
Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,Are John Hoyer Updike and Tom Clancy both writers?
Who was born first Martin Degville or Richie Furay?,Who was born first Martin Degville or Richie Furay?
God Is Not Great is by a journalist which due to his actions made him what?,God Is Not Great How Religion Poisons Everything is a 2007 book by an Anglo-
Are both Odds and Supergrass rock bands?,Are Odds and Supergrass both rock bands?
Who is is known domestically for his humorous videos and stage performances and released his sixth studio album in 2012?,Gangnam Style is the 18th K-pop single by which South Korean singer
What is the birth name of the woman that A Woman Called Moses is based on?,A Woman Called Moses is a television miniseries based on the life of Harriet Tub
Are both Don Giovanni and Cardillac operas with three acts?,Are Don Giovanni and Cardillac both operas?
Do both Changle District and Longkou face water?,Are Longkou and Changle located in the same province?
The Cinematic Orchestra was signed to the record label based in what city?,The Cinematic Orchestra is signed to an independent record label based in what city?
Edoardo Soleri is playing on loan from which Italian football club?,Edoardo Soleri is an Italian footballer who plays for Spezia on loan
Q1 Which mountain is located in China Kirat Chuli or Kangpenqing?,Kirat Chuli or Tent Peak is a mountain in the Himalayas of
What are the names of the co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks?,Who is the director of the 2009 American psychological horror film directed by the Guard Brothers?
what is the group called that Dianne Morgan and Joe Wilkinson a part of in the BBC comedy Two Episodes of Mash,Live at the Electric is hosted by comedian Russell Kane who performs stand-up in between
During the 2004-05 Atlanta Hawks season the team acquired a former professional basketball player who is the current head coach of what team?,The 2004–05 Atlanta Hawks acquired an American former professional basketball player and the current head
What mine was operated by Royal Oak Mines at at earlier date Kemess Mine or Colomac Mine?,Which mine was operated first Kemess Mine or Colomac Mine?
Aroma-scope used in Spy Kids 4 is reminiscent of what marketing gimmick used in Polyester in 1981?,Spy Kids 4 All the Time in the World is a 2011 American 4D spy
Suzanne Simone Baptiste Louverture is the wife of the leader of which revolution?,Suzanne Simone Baptiste Louverture was the wife of Toussaint Lou
In addition to the best known comic servant from Commedia dell'arte who else is featured in La Surprise de l'amour?,La Surprise de l'amour makes use of stock characters from the Commedia de
In what town does the one-time star of And There's More now live?,And There's More is a comedy sketch show starring Jimmy Cricket an Irish comedian currently lives
Edward C. Hugger and Alexander Acosta served at appointees for what job?,Ed Hugler served as Acting Secretary of Labor from January 20 2017 to April 28 2017
Which club founded in 1928 did Bob Johnson played for ,Bob Johnson played in Ireland for a club founded in 1928 that was what?
A holdout is an accessory used by cheats in order for them to recieve what?,In gambling jargon a holdout is any of numerous accessories used by cheats to help
In which football league does the son of Souleyman Sané play?,Souleyman Sané is the father of a German professional footballer who plays as
How many legs does the animal in which Karl Kraepelin discusses in Scorpiones und Pedipalpi have?,Karl Matthias Friedrich Magnus Kraepelin specialised in the study of scorpions which
Who is older Bertalan Farkas or Hans Schlegel?,Who was born first Bertalan Farkas or Hans Schlegel Überling
What portrait hangs in the Smithsonian Institute along with what is known as the founder of nursing?,Who was born first Mary O'Connell or Florence Nightingale?
Why did basketball player The Process not play in the 77th season?,The 2015–16 Philadelphia 76ers season was the 77th season of the franchise in
How many rooms are in the building built in 1883 at Garden City in Nassau County New York?,A. T. Stewart Era Buildings is a national historic district located at Garden City in
Who is younger Chris Gould or Robbie Gould ?,Who is older Chris Gould or Robbie Gould?
San Jose Secondary Educational Center is located on the cost of what sea? ,San Jose Secondary Educational Center Málaga Spain is located on the Costa del Sol
What member of the South Korean-Chinese boy group EXO stars in the upcoming movie The Underdog?,The Underdog Hangul stars which South Korean singer and actor?
Did the host of Splash! win a gold silver or bronze Olympic medal?,Splash! is a British television show which teaches celebrities the art of diving with the
WFMT FM radio transmits from the second tallest building in the United States which is located where?,WFMT transmits from the tallest building in what city?
What is the birthday of the author of She Walks These Hills?,When was the author of She Walks These Hills born?
Charles Coughlin was a controversial Canadian-American Roman Catholic who also started what rumor?,Frances Sweeney sought to counteract the influence of a controversial Canadian-American Roman Catholic priest
Joe Ford played for which football club based out of Old Trafford?,Joseph Bertram Ford played for which professional football club based in Old Trafford Greater Manchester England
Emily Beecham is best known for her role in a televsion series whose second season premiered on what date?,Emily Beecham is best known for her role in an American television series that premiered
One of the directors of Mediastan is well-known for founding what organisation in 2006?,Mediastan is a 2013 documentary film about the 2010 United States diplomatic cables leak
In which county does the United States Navy air base located in which  Attack Squadron 174 (VA-174) was based on?,Attack Squadron 174 (VA-174) was a United States Navy attack squadron based at
Where is the closest relative to the whale located?,Whales are a widely distributed and diverse group of fully aquatic placental marine mammals their
Which player won more Grand Slam titles Kevin Ullyett or Billie Jean King?,Who was born first Kevin Ullyett or Billie Jean King?
The physicist that saw a deficiency in Newton's classical theory of gravity received a Nobel Prize in what year?,The Cosmic catastrophe was a thought experiment in which the sun were to instantaneously disappear Albert
In what year did the parent show of The URL with Phred Show end?,The URL with Phred Show is an American television series originally airing on Noggin
What two shows is the director of the first Clone Wars series known for creating?,Star Wars The Clone Wars is an American 3D CGI animated television series created by George
What Chinese company helped develop the aircraft that preceded the Chengdu J-7?,The Chengdu J-7 was extensively re-developed into the PAC JF-
Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?,Michał Wiśniowiecki was a Polish–Lithuan
How many acts is the ballet Rita Sangalli premiered in in the year 1876?,Rita Sangalli performed in a ballet in what acts?
Billy King was an Australian rules footballer who participated in a game that was contested between the South Melbourne Football Club and Carlton Football Club and was held at what location in Melbourne in 1945?,William Herbert 'Billy' King (17 August 1920 – 23 August 1990) was an
When did the park at which Tivolis Koncertsal is located open?,Tivolis Koncertsal is a 1660-capacity concert hall located at a
Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,State Route 111 runs east–west connecting the towns of Biddeford and Alfred
Do tennis players Kathy Jordan and Sergi Bruguera have the same nationality?,Are Kathryn Jordan and Sergio Bruguera both tennis players?
Which University University of New South Wales or Purbanchal University was established first ?,Which university was established first The University of New South Wales or Purbanchal University
What is the main base for the parent company of LATAM Express?,LATAM Express Transporte Aéreo S.A. is a subsidiary
Giovanna d'Arco is an opera that was created by the composer of what nationality?,Giovanna d'Arco Joan of Arc is an operatic dramma l
Who manages the Laboratory that ran the Aurora Generator Test?,Idaho National Laboratory ran the Aurora Generator Test in 2007 to demonstrate how a cyber attack
Drisheen is what type of product made in Ireland and other parts of Europe?,Drisheen is a type of blood pudding made in Ireland it is distinguished from
The 59th Infantry Division covered the deployment of the 35th Infantry during the Allied operation during what war?,The US 59th Infantry Division was a 'Phantom Division' created in May 1944
Who signed into law the act made to lower barriers to adoption?,Who signed into law the Adoption 2002 Initiative?
Who was born first Steve Hogarth or Donnie Munro?,Who was born first Donnie Rothach or Steve Hogarth?
What are both Jack Rabbit and Leap-The-Dips made of?,Jack Rabbit and Leap-the-Dips are both what?
Michael Mark Brodsky is known for his translation of what Irish avant-garde novelist playwright theatre director and poet?,Michael Brodsky is best known for his novels and for his translation of which Irish
What man with a lazy left eye starred in Sacred Ground?,Sacred Ground is a 1983 western adventure film directed by Charles B. Pierce and starring
What is the name of the girl group that the host of the Nickelodeon Australian Kids' Choice Awards 2006 was a member of?,The fourth annual Nickelodeon Australian Kids' Choice Awards were held on 11 October 2006
What man is linked to both Johnny Tremain and Magic Kingdom?,Johnny Tremain is a 1957 film made by Walt Disney Productions based on the 1944 New
On what album is Samuel Sam Ervin Beam's cover of Such Great Heights featured?,Such Great Heights is a song by American indie pop band The Postal Service it was released
What city in the Philippines is home to the Robinsons Galleria and the 4th largest shopping mall in the world?,Robinsons Galleria is a mixed-use complex and shopping mall located in which
Which one of Magna Publishing Group's tiles is a spinoff of the UK's Club International?,Magna Publishing Group is one of the largest publishers of pornographic magazines in the United States
Rani Jhansi Marine National Park commemorates what queen of the princely state of Jhansi in North India?,Rani Jhansi Marine National Park is located in the Andaman and Nic
Which English singer from the 1960s has an album entitled Dangerous Acquaintances released in 1981?,Dangerous Acquaintances is the eighth studio album by which English singer songwriter
The first Latina Supreme Court Justice was part of the majority decision of a case that upheld which previous supreme court case?,Alleyne v. United States was a United States Supreme Court case that decided that
Who was the pivotal in the formation of schools catering for the primary and early secondary education of children in remote and outback Australia?,Who was born first Adelaide Laetitia or Adelaide Miethke?
In which 2017 film did this South Korean actor of  Dream High (2011) and the 2012 South Korean television drama series featuring Han Ga-in Jung Il-woo and Kim Min-seo appeared in 2017?,Moon Embracing the Sun is a 2012 South Korean television drama series starring a South
Where Ken Kwapis and John Woo both working on films in the 1980's?,Are Ken Kwapis and John Woo both film directors?
What is the name of the town linked by rail to Kendal named after a lake of the same name?,What town and civil parish in the South Lakeland District of Cumbria England has
The company that Park Joo-mi made her entertainment debut as a model for has its headquarters in what building in Seoul?,Park Joo-mi made her entertainment debut as an Asiana Airlines model in 1991
What is the total circulation of the magazine that called Ohio State Route 78 one of the most scenic highways nationwide?,State Route 78 SR 78 is a state highway that runs for 105 miles 169 km from
Chancellor Otto von Bismark and Reichstadt agreement were also part of what League?,The Reichstadt agreement was an agreement made between Austria-Hungary and Russia in July
Opel once owned and manufactured the brand known under one shared name in New Zealand and Australia and that brand is now a subsidiary of what company?,Opel Automobile GmbH is a German automobile manufacturer a subsidiary of the French
Who was the woman whose execution for treason by German firing squad was the reason for Prussian Generalleutnant (Lieutenant General) Traugott von Sauberzweig's replacement as Military Governor of Brussels in 1915?,Traugott Martin von Sauberzweig was Military Governor of Brussels in the
How has played in more bands Kim Wilson or Chino Moreno?,Who was born first Kim Wilson or Chino Moreno?
The album Mr. 12 String Guitar features a singer that hosted a variety show from 1969 to 1972 on what newtork?,Mr. 12 String Guitar is an instrumental folk album featuring the 12 string guitar of an
Which Turkish leisure airline started operations under its own AOC in April 2011?,Which Turkish leisure airline is headquartered in Antalya and operates Corendon Dutch Airlines
Phil Urban CEO of Mitchells & Bustlers manages what in the United Kingdom?,Philip Charles Urban is CEO of Mitchells & Butlers which runs around 1600 managed
Which Walt Disney film was produced first The Apple Dumpling Gang or Something Wicked This Way Comes?,Which film was released first The Apple Dumpling Gang or Something Wicked This Way Comes?
What was the real name of the author of the book Coraline has been compared to?,Who wrote the 1865 fantasy novel that was compared to Coraline?
The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Which Punjabi film was released first Vaisakhi List or Sunil Gro
Between MetroSource and Chicago which magazine is published more frequently?,Which magazine has more editions Metrosource or Chicago?
Who has a wider scope of profession  José Echegaray or Graham Swift?,Who was born first José Echegaray or Graham Swift?
Indie studio Jumpship developed what puzzle-platform video game released in July 2010?,Somerville is an upcoming video game and the debut title by the indie studio J
What genre does Orkworld and John Wick have in common?,Orkworld is a fantasy role-playing game featuring orks it was designed by
Are Stanley Elkin and Anne Tyler from the same country?,Are Stanley Elkin and Anne Tyler both writers?
Which genus has more species in it Othonna or Stangeria?,Which genus has more species Othonna or Stangeria?
Who is younger Pelle Almqvist or Steve Winwood?,Who is older Steve Winwood or Pelle Almqvist?
Who was born first George Kuchar or Arthur Penn?,Who was born first George Kuchar or Arthur Penn?
Besides the song OK Computer what did the same band record in 1995?,No Surprises is a song by the English alternative rock band Radiohead released as the
Which star of Here Come the Munsters was born in Philadelphia ?,What American actress and model starred in Here Come the Munsters?
What network does the original presenter of ITV Nightly News currently present for?,The ITV Nightly News was the late evening news programme on British television network ITV produced
Who is the son of the author of the short story The Enormous Radio.,Who was born first Benjamin Cheever or John Cheever?
Is Bob Hewitt a citizen of a different country than Ray Ruffels?,Are Ray Ruffels and Robert Hewitt both tennis players?
Were the films Crazy Love and Welcome to Nollywood both released in 2008?,Are Crazy Love and Welcome to Nollywood both documentaries?
Which singer/songwriter is the Executive Vice President of A&R at Capitol Records Nate Albert or Rod Stewart?,Who is older Nate Albert or Rod Stewart?
 The 2010–11 Old Dominion Monarchs basketball team was led by the coach of what nationality?,The 2010–11 Old Dominion Monarchs basketball team represented Old Dominion University during the 2010
Who wrote the 1996 American historical drama film in which William Preston appeared?,William Preston appeared in the 1996 American historical drama film written by who?
Which award did the author of Anastasia on Her Own win in 2002?,Anastasia on Her Own is a young-adult novel by a writer who won
Who was involved in observing the natural progression of untreated syphilis in rural African-American men in Alabama?,Who was a senior surgeon and the acting chief of the venereal disease program in
What county is the congressional district that Hansen Clarke was a U.S. Representative for in?,Hansen Clarke is a politician from the state of Michigan he served two-terms in
Which band has had more members The Operation M.D. or Del Amitri?,Which band was formed first The Operation or Del Amitri?
Which producer from the 2015 British documentary film about the life and death of British singer-songwriter Amy Winehouse also worked on the film Oasis Supersonic as a film producer?,Who produced the 2015 British documentary film about the life and death of British singer-song
What title did the author of Det norske Theater's first production hold ? ,Det norske Theater is a former theatre in Bergen Norway and regarded as the
What lawyers were featured in The State of Marriage with the lawyer nominated by Governor Peter Shumlin?,The State of Marriage is a 2015 documentary film about the origins of the marriage equality movement
What is the official currency in the country that hosts the Asahi-Ryokuken Yomiuri Memorial tournament?,The Asahi-Ryokuken Yomiuri Memorial was a golf tournament on
Q Who was born first Richard Boleslawski or Herschell Gordon Lewis?,Who was born first Richard Boleslavsky or Herschell Gordon Lewis?
In what city are both 8 Spruce Street and the World Trade Center located?,8 Spruce Street is a 76-story skyscraper designed by architect Frank Gehry
which league is the 121th season of top-tier competitive football in Switzerland which Ulrich Forte coach FC Zürich in the league ,Ulrich Uli Forte is currently the coach of FC Zürich in which
Andrea Camplone is a football coach in which 22-team competition?,What is the second-highest division in the Italian football league system after the Serie A
Which dog is based in Switzerland Appenzeller Sennenhund or Drentse Patrijshond?,Which dog is larger Appenzeller Sennenhund or Drentsche Patrij
What is type of philosophies is The Structure of Liberty about?,The Structure of Liberty is a book by legal theorist Randy Barnett which offers a libertarian theory
Reveille Park is the eighth album by which American rapper born on October 5 1970?, Reveille Park is the eighth album by which American rapper founder of Dope House Records
Where does the descendant of the Red Setter originate? ,The Scotch Collie is a landrace breed of dog which originated from the highland
Is the university that owns WCSU-FM historically black or white?,WCSU-FM is currently owned by a university that is what?
In the USA a tobacconist also called a tobacco shop or smoke shop is traditionally represented by which advertisement figure that is often a three-dimensional wooden sculpture several feet tall?,A tobacconist is a retailer of tobacco products in various forms and the related
Which American comedian actor writer producer and voice actor from Hot & Fluffy voices a character in The Nut Job?,The Nut Job is a 2014 3D computer-animated heist-comedy
What disease is the Wolf Prize winner and Vadim  Bereinskii-inspired Nobel laureate suffering from?,Vadim L'vovich Berezinskii was awarded the 2016 Nobel Prize for
Who is a poet Rumi or Farouk El-Baz?,Who was born first Jalāl ad-Dīn Muhammad Rūmī
Britt Walford played with what musician who is best known for his guitar work in the band Maurice,Britt Walford quit to play with which American alternative rock musician?
What occupation have Carly Gullickson and Francesca Schiavone both held?,Carly Gullickson and Francesca Schiavone have which mutual occupation?
What genre of music did Benjamin Burnley and Yannis Philippakis have in common?,Ben Burnley and Yannis Philippakis have which mutual occupation?
Name the movie that was cowritten by Paul Rudd and the director of the 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega Nick Frost Jodie Whittaker and Luke Treadaway.,Joe Cornish released his directorial debut Attack the Block in 2011 and co-wrote
 Om and SIx Organs of Admittance are both what?,Om / Six Organs of Admittance is a split 7 by which American
Are both Ride a Wild Pony and Frozen 2 computer-animated films?,Are Ride a Wild Pony and Frozen 2 both animated films?
Barranca de Yaco is a geographical feature along an ancient road that is approximately how many miles long?,Barranca de Yaco is a geographical feature along the ancient camino real royal
What are some other areas that share a common deer species with the forests of Mara and Mondrem?,The Forests of Mara and Mondrem were adjacent medieval forests in Cheshire England which
What is the approximate population of the town near which Forward Operating Base Gibraltar was located ?,FOB Gibraltar was a British-manned Forward Operating Base in Helmand Province Afghanistan
What is the age range of the league for which the Bobby Smith Trophy is awarded?,The Bobby Smith Trophy is awarded annually to the Ontario Hockey League OHL Scholastic
Are both Kyosuke Himuro and Boy George musicians from the 1980s?,Are Kyosuke Himuro and Boy George both singers?
The pilot and author of Highest Duty My Search for What Really Matters was hired by which news station in 2011?, Highest Duty My Search for What Really Matters is a memoir written by Chesley Sull
How to Irritate People was a broadcast written by an English actor who got his start on what television program?,How to Irritate People is a 1968 television broadcast written by an English actor voice
Which women's magazine was published first Mirabella or Home Monthly?,Which magazine was published first Mirabella or Home Monthly?
Which country is the Taipa island part of?,Taipa and Macau are located in which country?
What year did the VIacom subsidary Paramount Pictures make the silent film Through the Glass Window?,Through a Glass Window is a 1922 American drama silent film directed by Maurice Campbell and written
Which of the following cities is a county-level city Jingzhou or Zixing?,Which city is under the administration of Chenzhou prefecture-level City Jingzhou or
The group formed during the summer of 2007 included what girl born in 1987?,The Saturdays was a British-Irish girl group based in London England the line up consisted
Which documentary film came out first The Last Lions or Prophet's Prey ?,Which film was released first The Last Lions or Prophet's Prey?
Which Dutch media tycoon transferred all of its media activities to Talpa Holding?,Talpa Holding is the company in which John de Mol Jr. has transferred all of
